Tariff Band,Feeder,Minimum Duration of Supply (Hrs/Day),Average Frequency of Interruptions Per Day,Average Duration of Interruptions,Average Response time to calls,Average Response time to resolving complaints
B,33-EjigboTCN-IGANDO,17:00,0.25,9:35:50,0:01:00,9:35:50
B,11-Adeniyi JonesINJ-T1-Anifowoshe,17:00,5.72,3:54:21,0:01:00,3:54:21
B,11-ObawoleINJ-T1-Youdeowei,17:00,5.72,3:54:21,0:01:00,3:54:21
B,11-AlimoshoINJ-T8-Wole Omo Osho,17:00,6.72,6:24:13,0:01:00,6:24:13
B,11-AlapereINJ-T1-Bakare,17:00,5.72,3:54:21,0:01:00,3:54:21
B,11-AkokaINJ-T3-Community,17:00,5.72,5:34:04,0:01:00,5:34:04
B,11-Oke AfaINJ-T2-LCHE,17:00,5.72,7:02:19,0:01:00,7:02:19
B,11-AkokaINJ-T3-Akoka,17:00,5.72,4:14:25,0:01:00,4:14:25
B,11-AlajaINJ-T1-Koloba,17:00,6.72,16:40:17,0:01:00,16:40:17
B,33-OworonshokiTCN-NEW OWORO,17:00,0.45,4:40:28,0:00:05,4:40:28
C,33-IkoroduTCN-IBESHE,13:00,1.69,7:55:09,0:01:00,7:55:09
C,11-AjaoINJ-T1-Domino,13:00,5.72,14:03:45,0:01:00,14:03:45
C,11-ItireINJ-T3-Ago,13:00,5.72,11:17:53,0:01:00,11:17:53
C,11-AgegeINJ-T1-Oko Oba,13:00,5.72,6:00:53,0:01:00,6:00:53
C,11-AjaoINJ-T2-Sholanke,13:00,5.72,5:33:43,0:01:00,5:33:43
C,33-Oke-AroTCN-AKUTE,13:00,6.72,12:10:48,0:01:00,12:10:48
C,11-Abule IrokoINJ-T1-Abule Iroko,13:00,6.72,9:12:07,0:01:00,9:12:07
C,11-Akute INJ-T1-Ishashi,13:00,6.72,6:22:28,0:01:00,6:22:28
C,11-Akute INJ-T1-Oyeyemi,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-Abule IrokoINJ-T1-Alakuko,13:00,6.72,7:05:09,0:01:00,7:05:09
C,11-Ope IluINJ-T1-Adiyan,13:00,6.72,8:20:53,0:01:00,8:20:53
C,11-AlapereINJ-T1-Agboyi,13:00,6.72,10:28:25,0:01:00,10:28:25
C,11-Ijaiye OjokoroINJ-T1-Abeokuta Express,13:00,6.72,16:47:43,0:01:00,16:47:43
C,11-Ope IluINJ-T1-Aboro,13:00,6.72,7:41:04,0:01:00,7:41:04
C,11-ShashaINJ-T1-Foursquare,13:00,6.72,8:00:08,0:01:00,8:00:08
C,11-ShashaINJ-T1-Oguntade,13:00,6.72,5:43:18,0:01:00,5:43:18
C,11-New GowonINJ-T1-Kuwait,13:00,6.72,8:30:09,0:01:00,8:30:09
C,11-YusufINJ-T2-Agbefa,13:00,6.72,7:42:05,0:01:00,7:42:05
C,11-AgegeINJ-T3-Pen Cinema,13:00,6.72,2:24:20,0:01:00,2:24:20
C,11-AbesanINJ-T1-Ipaja,13:00,6.72,8:04:28,0:01:00,8:04:28
C,11-AmikanleINJ-T1-Aiyetobi,13:00,6.72,6:25:15,0:01:00,6:25:15
C,11-AlimoshoINJ-T6-Shasha,13:00,6.72,10:08:18,0:01:00,10:08:18
C,11-AgegeINJ-T3-Tabon Tabon,13:00,6.72,7:50:50,0:01:00,7:50:50
C,11-MongoroINJ-T1-Sule,13:00,6.72,7:41:22,0:01:00,7:41:22
C,11-Abule TaylorINJ-T1-Walter Anderm,13:00,6.72,9:24:40,0:01:00,9:24:40
C,11-Ago OkotaINJ-T2-Oke Ogbere,13:00,6.72,4:19:12,0:01:00,4:19:12
C,11-IgandoINJ-T2-General Hospital,13:00,6.72,6:33:00,0:01:00,6:33:00
C,11-BolorunpeluINJ-T1-Idimu,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-MushinINJ-T1-Mushin,13:00,6.72,12:07:49,0:01:00,12:07:49
C,11-MushinINJ-T1-Mushin 2,13:00,6.72,10:12:00,0:01:00,10:12:00
C,11-Oke AfaINJ-T1-Ire-Akari,13:00,6.72,3:14:39,0:01:00,3:14:39
C,11-AdaranijoINJ-T1-NYSC,13:00,5.72,4:03:05,0:01:00,4:03:05
C,11-Agodo EgbeINJ-T1-Kudaki,13:00,5.72,4:13:22,0:01:00,4:13:22
C,11-AdaranijoINJ-T1-Arigbanla,13:00,5.72,9:31:00,0:01:00,9:31:00
C,11-IgbobiINJ-T1-Military,13:00,6.72,13:57:08,0:01:00,13:57:08
C,11-OguduINJ-T3-Balogun,13:00,6.72,10:17:56,0:01:00,10:17:56
C,11-AlajaINJ-T1-Fadayomi,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-Ago OkotaINJ-T2-Lake View,13:00,6.72,4:31:54,0:01:00,4:31:54
C,11-IgbobiINJ-T2-Orthopaedic,13:00,5.72,5:35:03,0:01:00,5:35:03
C,11-AlimoshoINJ-T8-Okunola,13:00,6.72,10:04:39,0:01:00,10:04:39
C,11-OworoINJ-T3-Bariga,13:00,6.72,6:23:28,0:01:00,6:23:28
C,11-BolorunpeluINJ-T3-Liasu,13:00,6.72,6:30:36,0:01:00,6:30:36
C,11-ItireINJ-T3-Apena,13:00,6.72,8:24:52,0:01:00,8:24:52
C,11-AbesanINJ-T2-Abesan,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-AyetoroINJ-T1-Bada,13:00,6.72,4:11:55,0:01:00,4:11:55
C,11-AlimoshoINJ-T4-Akowonjo,13:00,5.72,5:17:22,0:01:00,5:17:22
C,11-IjuINJ-T2-Agbado 1,13:00,6.72,8:04:16,0:01:00,8:04:16
C,11-AdaranijoINJ-T1-Oyewole,13:00,5.72,5:30:03,0:01:00,5:30:03
C,11-Ipakodo (Ebute)INJ-T1-WAEC,13:00,6.72,10:14:20,0:01:00,10:14:20
C,11-Ijaiye OjokoroINJ-T1-Jankara,13:00,6.72,9:37:02,0:01:00,9:37:02
C,11-OguduINJ-T2-Oriola,13:00,6.72,9:19:01,0:01:00,9:19:01
C,11-AgegeINJ-T2-Abule Egba,13:00,6.72,6:40:11,0:01:00,6:40:11
C,11-BeckleyINJ-T1-Agbe road,13:00,6.72,7:49:39,0:01:00,7:49:39
C,11-AbesanINJ-T2-Shagari,13:00,6.72,24:09:49,0:01:00,24:09:49
C,11-New GowonINJ-T1-Unity,13:00,6.72,6:24:00,0:01:00,6:24:00
C,11-YidiINJ-T1-Osoba,13:00,6.72,7:31:55,0:01:00,7:31:55
C,11-OjoduINJ-T1-Alagbole,13:00,5.72,4:56:52,0:01:00,4:56:52
C,11-AlimoshoINJ-T6-Orelope,13:00,6.72,6:24:13,0:01:00,6:24:13
C,11-AmuwoINJ-T2-Jakande 1,13:00,6.72,8:42:24,0:01:00,8:42:24
C,11-LambeINJ-T1-Jolasco,13:00,5.72,5:33:42,0:01:00,5:33:42
C,11-OworoINJ-T2-Pedro,13:00,6.72,30:11:10,0:01:00,30:11:10
C,11-IjuINJ-T2-Ishaga,13:00,6.72,7:05:35,0:01:00,7:05:35
C,11-OgbaINJ-T2-Agege,13:00,5.72,12:56:23,0:01:00,12:56:23
C,11-AyoboINJ-T1-Ikola,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-MarylandINJ-T3-Ikosi,13:00,5.72,10:44:40,0:01:00,10:44:40
C,11-OjoduINJ-T1-King Avenue,13:00,5.72,4:38:42,0:01:00,4:38:42
C,11-New OworoINJ-T1-Odunsi,13:00,5.72,7:04:40,0:01:00,7:04:40
C,11-ItireINJ-T1-Ademulegun,13:00,6.72,12:46:57,0:01:00,12:46:57
C,11-BolorunpeluINJ-T1-Isijola,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-AlimoshoINJ-T4-Oki,13:00,5.72,4:50:31,0:01:00,4:50:31
C,11-BeckleyINJ-T1-Beckley,13:00,6.72,8:17:00,0:01:00,8:17:00
C,11-AmuwoINJ-T2-Jakande 2,13:00,6.72,12:15:22,0:01:00,12:15:22
C,11-SaboINJ-T1-Mary Hill,13:00,5.72,4:27:09,0:01:00,4:27:09
C,11-WasimiINJ-T2-Wasimi,13:00,6.72,8:47:22,0:01:00,8:47:22
C,11-OgbaINJ-T1-Isokoko,13:00,5.72,9:43:47,0:01:00,9:43:47
C,11-New OworoINJ-T1-Finbars,13:00,5.72,8:27:26,0:01:00,8:27:26
C,11-IjuINJ-T1-Asore,13:00,5.72,8:37:52,0:01:00,8:37:52
C,11-AjaoINJ-T2-New Estate,13:00,5.72,4:23:22,0:01:00,4:23:22
C,11-OdogunyanINJ-T2-Ita Oluwo,13:00,5.72,4:13:00,0:01:00,4:13:00
C,11-MushinINJ-Aswani,13:00,5.72,10:09:43,0:01:00,10:09:43
C,11-SaboINJ-T2-Eyita,13:00,5.72,7:34:48,0:01:00,7:34:48
C,11-Ago OkotaINJ-T1-Fasheun,13:00,6.72,7:49:53,0:01:00,7:49:53
C,11-IjuINJ-T1-Grailand,13:00,5.72,7:34:45,0:01:00,7:34:45
C,11-SaboINJ-T1-Ayangburen,13:00,5.72,5:57:53,0:01:00,5:57:53
C,11-Ago OkotaINJ-T1-Amuwo Ind.,13:00,6.72,5:56:28,0:01:00,5:56:28
C,11-LambeINJ-T1-Olambe,13:00,6.72,7:29:11,0:01:00,7:29:11
C,11-OdogunyanINJ-T2-Cantonment,13:00,5.72,12:11:42,0:01:00,12:11:42
C,11-WasimiINJ-T1-Akanimodo,13:00,6.72,10:00:00,0:01:00,10:00:00
C,11-AgegeINJ-T1-Iju Road,13:00,5.72,5:00:19,0:01:00,5:00:19
C,11-IlupejuINJ-T3-L & K,13:00,5.72,8:44:48,0:01:00,8:44:48
C,11-WasimiINJ-T2-Agidi,13:00,5.72,8:13:45,0:01:00,8:13:45
C,11-OdogunyanINJ-T1-Industrial,13:00,5.72,7:10:11,0:01:00,7:10:11
C,11-WasimiINJ-T1-Araromi,13:00,5.72,4:21:08,0:01:00,4:21:08
C,11-Oke AfaINJ-T3-Bungalow,13:00,6.72,24:21:38,0:01:00,24:21:38
C,11-AbesanINJ-T1-Baruwa,13:00,6.72,6:01:50,0:01:00,6:01:50
C,11-Agodo EgbeINJ-T1-Abanishe,13:00,5.72,4:20:49,0:01:00,4:20:49
C,11-AyetoroINJ-T1-Itele,13:00,6.72,7:35:39,0:01:00,7:35:39
C,11-Oke AfaINJ-T2-Ilamoshe,13:00,6.72,9:33:16,0:01:00,9:33:16
C,11-AyoboINJ-T1-Ayobo,13:00,6.72,8:31:07,0:01:00,8:31:07
C,11-Abule IrokoINJ-T1-Books,13:00,6.72,11:37:58,0:01:00,11:37:58
C,11-IgbogboINJ-T2-Agbele,13:00,5.72,13:43:56,0:01:00,13:43:56
C,11-IgbogboINJ-T2-Odofin,13:00,5.72,7:30:46,0:01:00,7:30:46
C,11-OwutuINJ-T1-Ori Okuta,13:00,6.72,5:37:20,0:01:00,5:37:20
C,33-AyoboTCN-AYOBO,13:00,6.72,4:19:12,0:01:00,4:19:12
C,11-IlapoINJ-T1-Ilapo,13:00,6.72,16:40:17,0:01:00,16:40:17
C,11-IjegunINJ-T1-Obalagbe,13:00,6.72,10:29:43,0:01:00,10:29:43
